a,noun,a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation
aa,noun,a dry form of lava resembling clinkers
aaa,noun,an aneurysm of the abdominal aorta associated with old age and hypertension
aah,verb,express admiration and pleasure by uttering `ooh' or `aah'
aahed,verb,express admiration and pleasure by uttering `ooh' or `aah'
aahing,verb,express admiration and pleasure by uttering `ooh' or `aah'
aahs,verb,express admiration and pleasure by uttering `ooh' or `aah'
aal,proper noun,
aalii,noun,a small Hawaiian tree with hard dark wood
aaliis,noun,a small Hawaiian tree with hard dark wood
aals,noun,
aam,proper noun,
aani,proper noun,
aardvark,noun,nocturnal burrowing mammal of the grasslands of Africa that feeds on termites; sole extant representative of the order Tubulidentata
aardvarks,noun,nocturnal burrowing mammal of the grasslands of Africa that feeds on termites; sole extant representative of the order Tubulidentata
aardwolf,noun,striped hyena of southeast Africa that feeds chiefly on insects
aardwolves,noun,striped hyena of southeast Africa that feeds chiefly on insects
aargh,proper noun,
aaron,noun,United States professional baseball player who hit more home runs than Babe Ruth (born in 1934)
aaronic,adjective,
aaronical,adjective,
aaronite,verb,
aaronitic,adjective,
aarrgh,proper noun,
aarrghh,proper noun,
aaru,proper noun,
aas,noun,an associate degree in applied science
aasvogel,proper noun,
aasvogels,noun,
ab,noun,a bachelor's degree in arts and sciences
aba,noun,a loose sleeveless outer garment made from aba cloth; worn by Arabs
ababdeh,verb,
ababua,noun,
abac,noun,
abaca,noun,a kind of hemp obtained from the abaca plant in the Philippines
abacay,noun,
abacas,noun,a kind of hemp obtained from the abaca plant in the Philippines
abacate,verb,
abacaxi,adverb,
abaci,noun,a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave
abacinate,verb,blind by holding a red-hot metal plate before someone's eyes
abacination,noun,
abacisci,proper noun,
abaciscus,proper noun,
abacist,noun,
aback,adverb,having the wind against the forward side of the sails
abacli,adverb,
abacot,proper noun,
abacterial,adjective,
abactinal,adjective,(of radiate animals) located on the surface or end opposite to that on which the mouth is situated
abactinally,adverb,
abaction,proper noun,
abactor,noun,
abaculi,proper noun,
abaculus,proper noun,
abacus,noun,a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave
abacuses,noun,a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave
